objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,interviewee,interviewer,archival date,pdf,bio
mcmichael3,mcmichael,James McMichael's chair,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael3,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael3.jpg,/objects/small/mcmichael3_sm.jpg,/objects/thumbs/mcmichael3_th.jpg,,,,,,,
mcmichael4,mcmichael,James McMichael's computer,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael4,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael4.jpg,/objects/small/mcmichael4_sm.jpg,/objects/thumbs/mcmichael4_th.jpg,,,,,,,
mcmichael5,mcmichael,Where James McMichael sits,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael5,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael5.jpg,/objects/small/mcmichael5_sm.jpg,/objects/thumbs/mcmichael5_th.jpg,,,,,,,
mcmichael6,mcmichael,James McMichael's printer,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael6,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael6.jpg,/objects/small/mcmichael6_sm.jpg,/objects/thumbs/mcmichael6_th.jpg,,,,,,,
mcmichael7,mcmichael,One of James McMichael's bookshelves,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael7,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael7.jpg,/objects/small/mcmichael7_sm.jpg,/objects/thumbs/mcmichael7_th.jpg,,,,,,,
mcmichael8,mcmichael,Painting next to James McMichael's shelves,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael8,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael8.jpg,/objects/small/mcmichael8_sm.jpg,/objects/thumbs/mcmichael8_th.jpg,,,,,,,
mcmichael9,mcmichael,Plain page of James McMichael's notes,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael9,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael9.jpg,/objects/small/mcmichael9_sm.jpg,/objects/thumbs/mcmichael9_th.jpg,,,,,,,
mcmichael10,mcmichael,Multi-colored page of James McMichael's notes with underlining,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael10,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael10.jpg,/objects/small/mcmichael10_sm.jpg,/objects/thumbs/mcmichael10_th.jpg,,,,,,,
mcmichael11,mcmichael,Multi-colored page of James McMichael's notes with underlining (2),,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael11,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael11.jpg,/objects/small/mcmichael11_sm.jpg,/objects/thumbs/mcmichael11_th.jpg,,,,,,,
mcmichael12,mcmichael,Close up on James McMichael's multi-colored notes,,2014-03-17,,,poetry,"Long Beach, CA",33.7701,-118.1937,"CTRL+Shift, Center for Digital Inquiry and Learning, University of Idaho Library, https://ctrl-shift.org/",mcmichael12,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mcmichael12.jpg,/objects/small/mcmichael12_sm.jpg,/objects/thumbs/mcmichael12_th.jpg,,,,,,,
